Domain Name,Domain Type,Agency,City,State,Status
BEECAVETEXAS.GOV,City,Non-Federal Agency,Bee Cave,TX,ACTIVE
BELAIREKS.GOV,City,Non-Federal Agency,Bel Aire,KS,ACTIVE
BELEN-NM.GOV,City,Non-Federal Agency,Belen,NM,ACTIVE
BELLAIRETX.GOV,City,Non-Federal Agency,Bellaire,TX,ACTIVE
BELLAVISTAAR.GOV,City,Non-Federal Agency,Bella Vista,AR,ACTIVE
BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,Belleair Bluffs,FL,ACTIVE
BELLEFONTEPA.GOV,City,Non-Federal Agency,Bellefonte,PA,ACTIVE
BELLEMEADE-KY.GOV,City,Non-Federal Agency,Louisville,KY,ACTIVE
BELLERIVEACRESMO.GOV,City,Non-Federal Agency,Normandy,MO,ACTIVE
BELLEVUEIA.GOV,City,Non-Federal Agency,Bellevue,IA,ACTIVE
BELLEVUEWA.GOV,City,Non-Federal Agency,Bellevue,WA,ACTIVE
BELMONT-MA.GOV,City,Non-Federal Agency,Belmont,MA,ACTIVE
BELMONT.GOV,City,Non-Federal Agency,Belmont,CA,ACTIVE
BELOITWI.GOV,City,Non-Federal Agency,Beloit,WI,ACTIVE
BELTONPARKSMO.GOV,City,Non-Federal Agency,Belton,MO,ACTIVE
BELTONTEXAS.GOV,City,Non-Federal Agency,Belton,TX,ACTIVE
BENBROOK-TX.GOV,City,Non-Federal Agency,Benbrook,TX,ACTIVE
BENDOREGON.GOV,City,Non-Federal Agency,Bend,OR,ACTIVE
BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem,PA,ACTIVE
BENSONAZ.GOV,City,Non-Federal Agency,Benson,AZ,ACTIVE
BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Harbor,MI,ACTIVE
BENTONIL.GOV,City,Non-Federal Agency,Benton,IL,ACTIVE
BEREAKY.GOV,City,Non-Federal Agency,Berea,KY,ACTIVE
BERKELEYHEIGHTSTWPNJ.GOV,City,Non-Federal Agency,Berkeley Heights,NJ,ACTIVE
BERLINMD.GOV,City,Non-Federal Agency,Berlin,MD,ACTIVE
BERLINNH.GOV,City,Non-Federal Agency,Berlin,NH,ACTIVE
BERNCO.GOV,City,Non-Federal Agency,Albuquerque,NM,ACTIVE
BERRYVILLEVA.GOV,City,Non-Federal Agency,Berryville,VA,ACTIVE
BERTHOLD-ND.GOV,City,Non-Federal Agency,Berthold,ND,ACTIVE
BERWYN-IL.GOV,City,Non-Federal Agency,Berwyn,IL,ACTIVE
BERWYNHEIGHTSMD.GOV,City,Non-Federal Agency,Berwyn Heights,MD,ACTIVE
BETHANYBEACH-DE.GOV,City,Non-Federal Agency,Bethany Beach,DE,ACTIVE
BETHEL-CT.GOV,City,Non-Federal Agency,Bethel,CT,ACTIVE
BETHEL-OH.GOV,City,Non-Federal Agency,Bethel,OH,ACTIVE
BETHLEHEM-PA.GOV,City,Non-Federal Agency,Bethlehem,PA,ACTIVE
BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,Beverly Hills,CA,ACTIVE
BEVERLYHILLSCA.GOV,City,Non-Federal Agency,Beverly Hills,CA,ACTIVE
BEVERLYMA.GOV,City,Non-Federal Agency,Beverly,MA,ACTIVE
BHTX.GOV,City,Non-Federal Agency,Balcones Heights,TX,ACTIVE
BIGFLATSNY.GOV,City,Non-Federal Agency,Big Flats,NY,ACTIVE
BIGGS-CA.GOV,City,Non-Federal Agency,Biggs,CA,ACTIVE
BIGSANDYTX.GOV,City,Non-Federal Agency,Big Sandy,TX,ACTIVE
BINGHAMTON-NY.GOV,City,Non-Federal Agency,Binghamton,NY,ACTIVE
BIRMINGHAMAL.GOV,City,Non-Federal Agency,Birmingham,AL,ACTIVE
BISBEEAZ.GOV,City,Non-Federal Agency,Bisbee,AZ,ACTIVE
BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Biscayne Park,FL,ACTIVE
BISMARCKND.GOV,City,Non-Federal Agency,Bismarck,ND,ACTIVE
BIXBYOK.GOV,City,Non-Federal Agency,Bixby,OK,ACTIVE
BLACKSBURG.GOV,City,Non-Federal Agency,Blacksburg,VA,ACTIVE
BLAINEMN.GOV,City,Non-Federal Agency,Blaine,MN,ACTIVE
BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,Blairsville,GA,ACTIVE
BLANDING-UT.GOV,City,Non-Federal Agency,Blanding,UT,ACTIVE
BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Hudsonville,MI,ACTIVE
BLISSFIELDMICHIGAN.GOV,City,Non-Federal Agency,Blissfield,MI,ACTIVE
BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,Bloomingdale,GA,ACTIVE
BLOOMINGTON-MN.GOV,City,Non-Federal Agency,Bloomington,MN,ACTIVE
BLOOMINGTONMN.GOV,City,Non-Federal Agency,Bloomington,MN,ACTIVE
BLUEASH-OH.GOV,City,Non-Federal Agency,Blue Ash,OH,ACTIVE
BOCARATON-FL.GOV,City,Non-Federal Agency,Boca Raton,FL,ACTIVE
BOERNE-TX.GOV,City,Non-Federal Agency,BOERNE,TX,ACTIVE
BOISEIDAHO.GOV,City,Non-Federal Agency,Boise,ID,ACTIVE
BOLTON-MA.GOV,City,Non-Federal Agency,Bolton,MA,ACTIVE
BONNEYTEXAS.GOV,City,Non-Federal Agency,Bonney,TX,ACTIVE
BOONEVILLE-MS.GOV,City,Non-Federal Agency,Booneville,MS,ACTIVE
BORGERTX.GOV,City,Non-Federal Agency,Borger,TX,ACTIVE
BOSQUEFARMSNM.GOV,City,Non-Federal Agency,Bosque Farms,NM,ACTIVE
BOSTON.GOV,City,Non-Federal Agency,Boston,MA,ACTIVE
BOTHELLWA.GOV,City,Non-Federal Agency,Bothell,WA,ACTIVE
BOULDER-CO.GOV,City,Non-Federal Agency,Boulder,CO,ACTIVE
BOULDERCITY-NV.GOV,City,Non-Federal Agency,Boulder City,NV,ACTIVE
BOULDERCITYNV.GOV,City,Non-Federal Agency,Boulder City,NV,ACTIVE
BOULDERCOLORADO.GOV,City,Non-Federal Agency,Boulder,CO,ACTIVE
BOUNTIFULUTAH.GOV,City,Non-Federal Agency,Bountiful,UT,ACTIVE
BOURBON-IN.GOV,City,Non-Federal Agency,Bremen,IN,ACTIVE
BOW-NH.GOV,City,Non-Federal Agency,Bow,NH,ACTIVE
BOWERSDE.GOV,City,Non-Federal Agency,"Frederica,",DE,ACTIVE
BOWLINGGREEN-MO.GOV,City,Non-Federal Agency,Bowling Green,MO,ACTIVE
BOWLINGGREENKY.GOV,City,Non-Federal Agency,Bowling Green,KY,ACTIVE
BOWMAR.GOV,City,Non-Federal Agency,Bow Mar,CO,ACTIVE
BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Boxborough,MA,ACTIVE
BOYCEVA.GOV,City,Non-Federal Agency,Boyce,VA,ACTIVE
BOYLSTON-MA.GOV,City,Non-Federal Agency,Boylston,MA,ACTIVE
BOZEMAN-MT.GOV,City,Non-Federal Agency,Bozeman,MT,ACTIVE
BRADLEYBEACHNJ.GOV,City,Non-Federal Agency,Bradley Beach,NJ,ACTIVE
BRANFORD-CT.GOV,City,Non-Federal Agency,Branford,CT,ACTIVE
BRANSONMO.GOV,City,Non-Federal Agency,Branson,MO,ACTIVE
BRASWELLGA.GOV,City,Non-Federal Agency,Rockmart,GA,ACTIVE
BRAWLEY-CA.GOV,City,Non-Federal Agency,Brawley,CA,ACTIVE
BRECKENRIDGETX.GOV,City,Non-Federal Agency,Breckenridge,TX,ACTIVE
BREMENGA.GOV,City,Non-Federal Agency,Bremen,GA,ACTIVE
BREMERTONWA.GOV,City,Non-Federal Agency,Bremerton,WA,ACTIVE
BRENTWOOD-TN.GOV,City,Non-Federal Agency,Brentwood,TN,ACTIVE
BRENTWOODCA.GOV,City,Non-Federal Agency,Brentwood,CA,ACTIVE
BRENTWOODMD.GOV,City,Non-Federal Agency,Brentwood,MD,ACTIVE
BRENTWOODNH.GOV,City,Non-Federal Agency,Brentwood,NH,ACTIVE
BRENTWOODTN.GOV,City,Non-Federal Agency,Brentwood,TN,ACTIVE
BREWSTER-MA.GOV,City,Non-Federal Agency,Brewster,MA,ACTIVE
BREWSTERVILLAGE-NY.GOV,City,Non-Federal Agency,Brewster,NY,ACTIVE
BRICKTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Brick,NJ,ACTIVE
BRIDGEPORTCT.GOV,City,Non-Federal Agency,Bridgeport,CT,ACTIVE
BRIDGEPORTWV.GOV,City,Non-Federal Agency,Bridgeport,WV,ACTIVE
BRIDGEVIEW-IL.GOV,City,Non-Federal Agency,Bridgeview,IL,ACTIVE
BRIDGEWATERNJ.GOV,City,Non-Federal Agency,Bridgewater,NJ,ACTIVE
BRIGHTONCO.GOV,City,Non-Federal Agency,Brighton,CO,ACTIVE
BRIMFIELDOHIO.GOV,City,Non-Federal Agency,Kent,OH,ACTIVE
BRISTOLCT.GOV,City,Non-Federal Agency,Bristol,CT,ACTIVE
BRLA.GOV,City,Non-Federal Agency,Baton Rouge,LA,ACTIVE
BROADVIEW-IL.GOV,City,Non-Federal Agency,Broadview,IL,ACTIVE
BROKENARROWOK.GOV,City,Non-Federal Agency,Broken Arrow,OK,ACTIVE
BROOKFIELD-WI.GOV,City,Non-Federal Agency,Brookfield,WI,ACTIVE
BROOKFIELDCT.GOV,City,Non-Federal Agency,Brookfield,CT,ACTIVE
BROOKFIELDIL.GOV,City,Non-Federal Agency,Brookfield ,IL,ACTIVE
BROOKHAVENGA.GOV,City,Non-Federal Agency,Dunwoody,GA,ACTIVE
BROOKLINEMA.GOV,City,Non-Federal Agency,Brookline,MA,ACTIVE
BROOKLYNOHIO.GOV,City,Non-Federal Agency,Brooklyn,OH,ACTIVE
BROOKLYNWI.GOV,City,Non-Federal Agency,Brooklyn,WI,ACTIVE
BROOMFIELDCO.GOV,City,Non-Federal Agency,Broomfield,CO,ACTIVE
BROWNSVILLETN.GOV,City,Non-Federal Agency,Brownsville,TN,ACTIVE
BROWNWOODTEXAS.GOV,City,Non-Federal Agency,Brownwood,TX,ACTIVE
BRYANTX.GOV,City,Non-Federal Agency,Bryan,TX,ACTIVE
BRYCECANYONCITYUT.GOV,City,Non-Federal Agency,Bryce Canyon City,UT,ACTIVE
BRYSONCITYNC.GOV,City,Non-Federal Agency,Bryson City,NC,ACTIVE
BUCHANAN-VA.GOV,City,Non-Federal Agency,BUCHANAN,VA,ACTIVE
BUCKEYEAZ.GOV,City,Non-Federal Agency,Buckeye,AZ,ACTIVE
BUCKSPORTMAINE.GOV,City,Non-Federal Agency,Bucksport,ME,ACTIVE
BUENAVISTACO.GOV,City,Non-Federal Agency,Buena Vista,CO,ACTIVE
BULLHEADCITYAZ.GOV,City,Non-Federal Agency,Bullhead City,AZ,ACTIVE
BULVERDETX.GOV,City,Non-Federal Agency,Bulverde,TX,ACTIVE
BUNKERHILLTX.GOV,City,Non-Federal Agency,HOUSTON,TX,ACTIVE
BURBANKCA.GOV,City,Non-Federal Agency,Burbank,CA,ACTIVE
BURBANKIL.GOV,City,Non-Federal Agency,Burbank,IL,ACTIVE
BURIENWA.GOV,City,Non-Federal Agency,Burien,WA,ACTIVE
BURKITTSVILLE-MD.GOV,City,Non-Federal Agency,Burkittsville,MD,ACTIVE
BURLINGTON-WI.GOV,City,Non-Federal Agency,Burlington,WI,ACTIVE
BURLINGTONKANSAS.GOV,City,Non-Federal Agency,Burlington,KS,ACTIVE
BURLINGTONNC.GOV,City,Non-Federal Agency,Burlington,NC,ACTIVE
BURLINGTONND.GOV,City,Non-Federal Agency,Burlington,ND,ACTIVE
BURLINGTONVT.GOV,City,Non-Federal Agency,Burlington,VT,ACTIVE
BURLINGTONWA.GOV,City,Non-Federal Agency,Burlington,WA,ACTIVE
BURNSHARBOR-IN.GOV,City,Non-Federal Agency,Burns Harbor,IN,ACTIVE
BURNSVILLEMN.GOV,City,Non-Federal Agency,Burnsville,MN,ACTIVE
BURR-RIDGE.GOV,City,Non-Federal Agency,Burr Ridge,IL,ACTIVE
BURRILLVILLE-RI.GOV,City,Non-Federal Agency,Harrisville,RI,ACTIVE
BURTONMI.GOV,City,Non-Federal Agency,Burton,MI,ACTIVE
BUTLERWI.GOV,City,Non-Federal Agency,Butler,WI,ACTIVE
BYESVILLEOH.GOV,City,Non-Federal Agency,Byesville,OH,ACTIVE
CABOTAR.GOV,City,Non-Federal Agency,Cabot,AR,ACTIVE
CABQ.GOV,City,Non-Federal Agency,Albuquerque,NM,ACTIVE
CALAISVERMONT.GOV,City,Non-Federal Agency,East Calais,VT,ACTIVE
CALDWELLTX.GOV,City,Non-Federal Agency,Caldwell,TX,ACTIVE
CALEDONIAMN.GOV,City,Non-Federal Agency,Caledonia,MN,ACTIVE
CALIFORNIACITY-CA.GOV,City,Non-Federal Agency,California City,CA,ACTIVE
CALUMETTWP-IN.GOV,City,Non-Federal Agency,Gary,IN,ACTIVE
CAMBRIDGEMA.GOV,City,Non-Federal Agency,Cambridge,MA,ACTIVE
CAMBRIDGENY.GOV,City,Non-Federal Agency,Cambridge,NY,ACTIVE
CAMDENMAINE.GOV,City,Non-Federal Agency,Camden,ME,ACTIVE
CAMDENTN.GOV,City,Non-Federal Agency,Camden,TN,ACTIVE
CAMPBELLCA.GOV,City,Non-Federal Agency,Campbell,CA,ACTIVE
CAMPBELLOHIO.GOV,City,Non-Federal Agency,Campbell,OH,ACTIVE
CANALWINCHESTEROHIO.GOV,City,Non-Federal Agency,Canal Winchester,OH,ACTIVE
CANANDAIGUANEWYORK.GOV,City,Non-Federal Agency,Canandaigua,NY,ACTIVE
CANNONFALLSMN.GOV,City,Non-Federal Agency,Cannon Falls,MN,ACTIVE
CANTONOHIO.GOV,City,Non-Federal Agency,Canton,OH,ACTIVE
CANTONTWP-OH.GOV,City,Non-Federal Agency,Canton,OH,ACTIVE
CANTONTX.GOV,City,Non-Federal Agency,Canton,TX,ACTIVE
CAPECORALFL.GOV,City,Non-Federal Agency,Cape Coral,FL,ACTIVE
CARBONDALE-PA.GOV,City,Non-Federal Agency,Carbondale,PA,ACTIVE
CARLISLE-IA.GOV,City,Non-Federal Agency,Carlisle,IA,ACTIVE
CARLISLEMA.GOV,City,Non-Federal Agency,Carlisle,MA,ACTIVE
CARLSBADCA.GOV,City,Non-Federal Agency,Carlsbad,CA,ACTIVE
CARNATIONWA.GOV,City,Non-Federal Agency,Carnation,WA,ACTIVE
CARNEGIEOK.GOV,City,Non-Federal Agency,Carnegie,OK,ACTIVE
CARNEYSPOINTNJ.GOV,City,Non-Federal Agency,Carneys Point,NJ,ACTIVE
CARRBORONC.GOV,City,Non-Federal Agency,Carrboro,NC,ACTIVE
CARROLLTON-GA.GOV,City,Non-Federal Agency,Carrollton,GA,ACTIVE
CARTERLAKE-IA.GOV,City,Non-Federal Agency,Carter Lake,IA,ACTIVE
CARTERSVILLEGA.GOV,City,Non-Federal Agency,Cartersville,GA,ACTIVE
CARTHAGEMO.GOV,City,Non-Federal Agency,Carthage,MO,ACTIVE
CARVERMA.GOV,City,Non-Federal Agency,Carver,MA,ACTIVE
CARYNC.GOV,City,Non-Federal Agency,Cary,NC,ACTIVE
CASAGRANDEAZ.GOV,City,Non-Federal Agency,Casa Grande,AZ,ACTIVE
CASPERWY.GOV,City,Non-Federal Agency,Casper,WY,ACTIVE
CASTROVILLETX.GOV,City,Non-Federal Agency,Castroville,TX,ACTIVE
CATHEDRALCITY.GOV,City,Non-Federal Agency,Cathedral City,CA,ACTIVE
CAVESPRINGSAR.GOV,City,Non-Federal Agency,Cave Springs,AR,ACTIVE
CECILTONMD.GOV,City,Non-Federal Agency,Cecilton ,MD,ACTIVE
CECILTOWNSHIP-PA.GOV,City,Non-Federal Agency,Cecil,PA,ACTIVE
CEDARHURST.GOV,City,Non-Federal Agency,cedarhurst,NY,ACTIVE
CEDARPARKTEXAS.GOV,City,Non-Federal Agency,Cedar Park,TX,ACTIVE
CEDARRAPIDS-IA.GOV,City,Non-Federal Agency,Cedar Rapids,IA,ACTIVE
CEDARTOWNGEORGIA.GOV,City,Non-Federal Agency,Cedartown,GA,ACTIVE
CELINA-TX.GOV,City,Non-Federal Agency,Celina,TX,ACTIVE
